rank,trial_id,score,profit_factor,sharpe,trades,win_rate_pct,max_dd_pct,final_equity,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_atr_period,p_ema_period,p_key_value,p_risk_per_trade,p_session_filter_enabled,p_smi_cross_above_zero,p_smi_d_smoothing,p_smi_k_smoothing,p_smi_length,p_swing_lookback_bars,p_tp_rr_ratio
1,489,0.9224421182724855,0.9224421182724856,-0.4550746663447196,52,19.230769230769234,11.86501847998535,9835.185271923332,1,14,27.401123930589534,0,4,293,1.2086896919646817,0.02354158265734616,0,0,2,4,10,18,3.200910012754526
2,345,0.6811682257388844,0.6811682257388844,-2.4087130272428205,55,23.636363636363637,10.621032879529237,9234.62729803286,1,14,26.062535074876696,1,5,169,1.0744382398718817,0.01709189794374979,0,1,2,5,12,12,1.738615618898674
3,0,-inf,1.223989916795292,0.9025358945023072,17,23.52941176470588,5.225558388341492,10214.186282543917,1,14,35.53114818005548,0,4,181,1.1030284538648685,0.0182991369237072,0,0,5,3,5,29,2.765373406116185
4,1,-inf,-0,-4.691280582228656,3,0,2.3793045199126555,9762.470289949237,1,14,32.81298549783649,1,3,143,1.0377790010325805,0.020384974634090357,0,1,4,7,12,20,1.6462369036245033
5,2,-inf,-0,-0.44290049181942914,2,0,1.1837325506379484,9976.021591361296,1,14,32.020216449596916,1,4,140,2.2051400785701345,0.0230920123968468,0,1,5,7,18,23,2.051930502877062
6,3,-inf,-0,-2.9952372891155776,2,0,1.3600485385921977,9865.42887843595,1,14,36.54067431741475,1,1,186,3.9599633387073183,0.02214793370009383,0,1,2,3,11,20,3.921723257757208
7,4,-inf,0,0,0,0,0,10000,1,14,42.025919745209734,0,4,262,2.7247583887063858,0.014697367119827286,0,1,3,4,8,23,2.694977493898863
8,5,-inf,-0,-1.757835727532191,1,0,2.311430062879543,9851.889811603542,1,14,44.34047617914847,1,3,207,1.3325215377569526,0.016573837737332276,0,1,4,6,5,20,3.0330876805565405
9,6,-inf,0,0,0,0,0,10000,1,14,42.4028289075098,0,3,189,3.7897889952496375,0.01081351729947702,0,1,5,4,10,18,3.3065108344925536
10,7,-inf,-0,-2.172604184059462,1,0,0.5636975756270255,9951.096773928692,1,14,38.691205991831765,0,1,178,3.1400466626861943,0.02865866208896741,0,1,5,5,17,26,2.3063469199537754
